Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-550.1609	-559.4003	9.239338	13.14706	2.892195
1	1	-548.4836	-554.7847	6.301036	12.60066	3.121347
2	0	-546.6287	-558.6333	12.00465	13.50614	2.687039
3	1	-543.6984	-555.1544	11.45605	14.33311	2.728736
4	0	-549.9482	-561.503	11.55481	13.35206	2.718813
5	1	-555.9028	-568.0911	12.18835	13.39679	2.672013
6	0	-554.6605	-563.1028	8.442328	12.14865	2.945378
7	1	-552.2232	-561.8191	9.595933	10.00175	2.708063
8	0	-559.3361	-568.8926	9.556512	15.65587	2.833792
9	1	-551.2073	-563.8861	12.67879	13.36658	2.634888
10	0	-558.5769	-566.0233	7.446411	13.1174	3.02881
11	1	-556.6285	-563.5227	6.89414	11.3573	3.057696
12	0	-557.148	-562.2005	5.052544	13.89143	3.190442
13	1	-556.3266	-564.4437	8.117092	11.39593	2.951555
14	0	-544.4213	-554.5081	10.08679	17.28523	2.75198
15	1	-554.2663	-561.3907	7.124448	12.96688	3.054628
16	0	-558.3754	-567.9047	9.529273	17.11725	2.790128
17	1	-565.2999	-566.3327	1.03284	16.05249	3.35372
18	0	-547.9585	-559.0877	11.12921	14.16989	2.752399
19	1	-559.5167	-561.4677	1.951058	9.545819	3.447425
20	0	-552.4197	-565.4126	12.99287	14.42887	2.62171
21	1	-566.3698	-569.0466	2.676799	12.97023	3.397516
22	0	-548.4803	-558.8717	10.39146	17.49749	2.727356
23	1	-547.6277	-559.9166	12.28892	17.05178	2.630555
24	0	-553.261	-560.7453	7.484281	11.02553	2.991952
25	1	-563.0041	-571.5837	8.579526	12.16449	2.934395
26	0	-550.7542	-562.7918	12.03754	12.50554	2.66305
27	1	-560.2488	-570.6705	10.42174	11.16749	2.735308
28	0	-546.9656	-557.348	10.38242	14.40239	2.80292
29	1	-550.2397	-566.363	16.12331	18.7059	2.378201
30	0	-548.0074	-557.9662	9.958754	14.13597	2.835332
31	1	-541.821	-554.0634	12.24237	12.76606	2.654797
32	0	-557.9411	-561.6818	3.740692	12.55499	3.325502
33	1	-552.8439	-563.3968	10.55284	13.21534	2.792897
34	0	-550.7352	-561.1776	10.44234	12.8547	2.79721
35	1	-556.5846	-564.4401	7.85553	15.84672	2.935944
36	0	-555.2993	-565.6701	10.37073	18.15812	2.705674
37	1	-553.4613	-564.4933	11.03203	17.29009	2.697147
38	0	-559.3253	-567.3155	7.99022	13.98683	2.977348
39	1	-548.4675	-568.9333	20.46573	17.38771	2.151607
40	0	-546.6296	-557.9378	11.30819	12.68955	2.726205
41	1	-550.0389	-568.5784	18.53942	20.20791	2.223709
42	0	-556.0247	-565.9672	9.942572	10.93907	2.762947
43	1	-551.6444	-561.0363	9.391897	11.96857	2.862207
44	0	-556.3549	-559.6524	3.297483	12.04225	3.370452
45	1	-539.3134	-557.0704	17.75699	20.41966	2.257823
46	0	-548.1008	-560.8779	12.77707	13.17272	2.623675
47	1	-551.3496	-564.4729	13.12334	13.01636	2.593379
48	0	-554.5211	-561.5789	7.057754	11.50528	3.047707
49	1	-557.0823	-559.3209	2.238588	11.2295	3.468036
50	0	-555.0369	-563.4617	8.42481	13.64177	2.950784
51	1	-541.7384	-559.0114	17.27298	15.25358	2.337954
52	0	-545.2158	-555.6285	10.41262	12.94736	2.800799
53	1	-561.0552	-568.4022	7.347068	13.89818	3.025134
54	0	-548.4341	-560.9342	12.50012	16.73074	2.625668
55	1	-547.8161	-557.4233	9.607184	14.18097	2.85968
56	0	-550.3466	-559.0547	8.708139	11.37989	2.898984
57	1	-554.9282	-564.6751	9.746933	17.87151	2.750678
58	0	-540.2491	-555.6072	15.35807	16.00785	2.46161
59	1	-549.5593	-561.4471	11.88772	12.37042	2.670428
60	0	-554.7828	-558.9912	4.208371	13.70726	3.257661
61	1	-574.0194	-577.824	3.804537	11.38461	3.329915
62	0	-555.8531	-565.9143	10.06121	16.13434	2.789042
63	1	-559.7289	-569.8224	10.09354	16.84325	2.765989
64	0	-562.2117	-570.4068	8.195063	18.30166	2.819403
65	1	-553.4966	-563.4315	9.934871	13.11105	2.839061
66	0	-563.4015	-567.7332	4.33164	13.18192	3.264559
67	1	-556.0172	-563.8623	7.845117	11.76305	2.986832
68	0	-553.7637	-563.4298	9.666075	13.51217	2.860177
69	1	-555.6818	-563.1632	7.48141	12.62007	3.027708
70	0	-554.6918	-563.3108	8.618983	10.29744	2.835435
71	1	-545.6859	-557.6027	11.91682	16.37268	2.668916
72	0	-553.1693	-559.8799	6.710579	14.67191	3.049831
73	1	-552.7105	-565.666	12.95551	16.08326	2.610494
74	0	-555.5238	-562.5194	6.995564	11.02348	3.036187
75	1	-541.6004	-552.7939	11.19343	13.26539	2.744998
76	0	-550.2842	-560.3821	10.09788	16.21251	2.784591
77	1	-551.996	-558.6234	6.627489	13.78332	3.079531
78	0	-547.0329	-559.6502	12.6173	17.8459	2.590776
79	1	-559.7819	-562.9837	3.201776	9.142319	3.277912
80	0	-559.6197	-567.565	7.945302	16.0974	2.921507
81	1	-551.6191	-557.2332	5.61416	14.42243	3.133314
82	0	-550.0814	-554.469	4.387612	12.29837	3.277616
83	1	-550.7528	-562.3181	11.56538	13.48756	2.7194
84	0	-558.4682	-559.1064	0.6381888	14.90728	3.449635
85	1	-547.6949	-553.9146	6.219667	9.364243	2.978223
86	0	-552.7418	-559.6984	6.95665	13.86151	3.054017
87	1	-554.8288	-567.4102	12.58143	13.67921	2.646511
88	0	-568.0374	-570.2233	2.18587	12.23109	3.458369
89	1	-546.127	-554.4987	8.371685	16.28359	2.888586
90	0	-556.1554	-565.6591	9.503731	13.97692	2.869235
91	1	-547.6433	-559.1426	11.49924	14.10419	2.726406
92	0	-551.8445	-563.5598	11.71524	15.52672	2.69812
93	1	-562.0703	-563.5535	1.483211	17.31348	3.247959
94	0	-554.4278	-565.8486	11.42079	14.59328	2.729478
95	1	-543.9316	-557.3493	13.41769	14.81114	2.592584
96	0	-565.7334	-564.5077	-1.225685	9.754359	3.785957
97	1	-549.6532	-561.4128	11.75964	18.15588	2.629255
98	0	-543.2497	-557.0259	13.77618	15.94541	2.561191
99	1	-562.8687	-570.1401	7.271406	14.72482	3.01009
100	0	-547.6978	-556.5837	8.88586	12.96263	2.918774
101	1	-544.819	-559.0157	14.19671	15.87194	2.535547
102	0	-555.2839	-558.3121	3.028246	13.90984	3.335389
103	1	-547.3208	-558.0216	10.7008	15.47427	2.764535
104	0	-549.108	-560.2291	11.12108	10.16652	2.576811
105	1	-555.0783	-562.439	7.360714	12.40691	3.036597
106	0	-550.8254	-558.6056	7.780147	12.27477	3.001503
107	1	-549.4711	-557.8161	8.345021	11.1575	2.920775
108	0	-555.1969	-564.0665	8.869566	12.87481	2.919665
109	1	-562.3925	-573.5469	11.15444	19.36898	2.620212
110	0	-550.6482	-558.5292	7.880937	11.38952	2.972037
111	1	-549.6653	-566.0993	16.434	16.09304	2.394186
112	0	-541.5981	-555.5211	13.92297	20.91809	2.429815
113	1	-554.8466	-558.4122	3.565534	11.88209	3.349819
114	0	-542.0838	-559.1993	17.11549	17.41403	2.344001
115	1	-559.04	-564.5693	5.529303	10.02289	3.1163
116	0	-553.3225	-557.5625	4.240054	13.4565	3.263485
117	1	-558.3599	-566.7037	8.343801	17.05458	2.861808
118	0	-558.0755	-566.4548	8.379328	11.88362	2.944728
119	1	-546.5827	-558.468	11.88531	15.47431	2.687987
120	0	-556.2858	-562.8754	6.589559	12.34715	3.098685
121	1	-553.7877	-564.3015	10.51382	12.74046	2.789747
122	0	-558.3132	-562.7975	4.484365	13.33587	3.248809
123	1	-557.9664	-567.1877	9.221398	14.46949	2.882404
124	0	-550.1687	-555.0237	4.854981	11.4753	3.238827
125	1	-557.023	-566.9857	9.962755	13.25625	2.837734
126	0	-555.5579	-565.2203	9.662365	12.69581	2.85599
127	1	-550.6589	-562.2974	11.63848	15.79889	2.698148
128	0	-538.0958	-553.9163	15.82049	15.76247	2.433528
129	1	-558.8131	-569.5393	10.72619	18.25069	2.682883
130	0	-556.9878	-564.0981	7.110208	13.89037	3.04234
131	1	-573.8006	-578.1358	4.335237	11.56168	3.284683
132	0	-543.6585	-561.0204	17.36189	14.73173	2.32494
133	1	-541.2437	-564.8714	23.62776	21.48708	1.959728
134	0	-554.148	-560.0902	5.942241	11.78082	3.148801
135	1	-549.5295	-559.405	9.87548	12.29299	2.831256
136	0	-558.1536	-568.0909	9.937277	14.02778	2.837817
137	1	-550.3981	-564.9354	14.53734	14.36623	2.51409
138	0	-553.0399	-561.4893	8.449428	12.70321	2.951573
139	1	-555.6296	-561.4169	5.787298	13.11947	3.155256
140	0	-552.8087	-559.5246	6.715894	10.91048	3.056618
141	1	-546.9349	-554.8889	7.953984	14.35692	2.972548
142	0	-547.02	-556.4005	9.380478	15.39355	2.851921
143	1	-549.8014	-558.3299	8.528464	13.63263	2.943277
144	0	-557.5823	-561.9046	4.322232	10.70404	3.269879
145	1	-548.8176	-553.8345	5.016986	11.75125	3.227196
146	0	-567.9641	-569.4122	1.448147	13.38524	3.474241
147	1	-553.7654	-561.2574	7.49199	11.34015	3.004439
148	0	-558.3133	-563.5914	5.278145	9.341065	3.076026
149	1	-552.8426	-557.4495	4.60691	11.70447	3.261957
150	0	-552.708	-559.8323	7.124279	15.03238	3.010581
151	1	-563.5205	-566.711	3.190487	11.34029	3.383756
152	0	-555.0153	-563.0248	8.009494	11.84097	2.974839
153	1	-551.722	-561.3263	9.604254	13.79472	2.863487
154	0	-559.5335	-562.294	2.760512	17.47964	3.164513
155	1	-554.9956	-561.5099	6.514249	15.18904	3.045615
156	0	-552.6357	-571.7922	19.15647	17.94038	2.223652
157	1	-551.7682	-561.6659	9.897724	11.81506	2.814384
158	0	-554.0038	-559.1973	5.193485	18.75486	2.959958
159	1	-558.2707	-562.5264	4.255628	10.00031	3.241905
160	0	-546.1343	-555.6782	9.543877	13.58539	2.868988
161	1	-554.3125	-565.2809	10.96841	11.45692	2.705006
162	0	-555.7328	-560.5131	4.780294	10.91555	3.234175
163	1	-547.1187	-558.4748	11.35613	16.01767	2.711394
164	0	-546.7312	-559.3648	12.63365	17.29366	2.604425
165	1	-551.5708	-558.7968	7.225971	12.78443	3.04769
166	0	-554.0055	-563.2035	9.197991	16.77116	2.82165
167	1	-544.1004	-556.9259	12.82548	12.79468	2.610012
168	0	-549.5506	-559.8323	10.2817	11.06499	2.740989
169	1	-566.8246	-574.2728	7.448186	11.17146	3.001744
170	0	-550.0127	-558.7029	8.690201	15.3188	2.898846
171	1	-558.8424	-570.861	12.01863	13.8269	2.688652
172	0	-544.0239	-558.9079	14.88409	16.22234	2.489276
173	1	-555.5342	-563.8163	8.282089	11.22146	2.92948
174	0	-551.1266	-558.6167	7.49009	8.838139	2.755432
175	1	-550.0278	-559.7611	9.733337	13.51345	2.855197
176	0	-544.4881	-561.1306	16.64244	16.89141	2.376757
177	1	-546.2574	-560.7037	14.44634	15.65806	2.521446
178	0	-546.0382	-555.2972	9.259002	13.96949	2.886826
