Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-550.1609	-559.4003	9.239338	13.14706	2.892195
10	-546.6287	-558.6333	12.00465	13.50614	2.687039
20	-549.9482	-561.503	11.55481	13.35206	2.718813
30	-554.6605	-563.1028	8.442328	12.14865	2.945378
40	-559.3361	-568.8926	9.556512	15.65587	2.833792
50	-558.5769	-566.0233	7.446411	13.1174	3.02881
60	-557.148	-562.2005	5.052544	13.89143	3.190442
70	-544.4213	-554.5081	10.08679	17.28523	2.75198
80	-558.3754	-567.9047	9.529273	17.11725	2.790128
90	-547.9585	-559.0877	11.12921	14.16989	2.752399
100	-552.4197	-565.4126	12.99287	14.42887	2.62171
110	-548.4803	-558.8717	10.39146	17.49749	2.727356
120	-553.261	-560.7453	7.484281	11.02553	2.991952
130	-550.7542	-562.7918	12.03754	12.50554	2.66305
140	-546.9656	-557.348	10.38242	14.40239	2.80292
150	-548.0074	-557.9662	9.958754	14.13597	2.835332
160	-557.9411	-561.6818	3.740692	12.55499	3.325502
170	-550.7352	-561.1776	10.44234	12.8547	2.79721
180	-555.2993	-565.6701	10.37073	18.15812	2.705674
190	-559.3253	-567.3155	7.99022	13.98683	2.977348
200	-546.6296	-557.9378	11.30819	12.68955	2.726205
210	-556.0247	-565.9672	9.942572	10.93907	2.762947
220	-556.3549	-559.6524	3.297483	12.04225	3.370452
230	-548.1008	-560.8779	12.77707	13.17272	2.623675
240	-554.5211	-561.5789	7.057754	11.50528	3.047707
250	-555.0369	-563.4617	8.42481	13.64177	2.950784
260	-545.2158	-555.6285	10.41262	12.94736	2.800799
270	-548.4341	-560.9342	12.50012	16.73074	2.625668
280	-550.3466	-559.0547	8.708139	11.37989	2.898984
290	-540.2491	-555.6072	15.35807	16.00785	2.46161
300	-554.7828	-558.9912	4.208371	13.70726	3.257661
310	-555.8531	-565.9143	10.06121	16.13434	2.789042
320	-562.2117	-570.4068	8.195063	18.30166	2.819403
330	-563.4015	-567.7332	4.33164	13.18192	3.264559
340	-553.7637	-563.4298	9.666075	13.51217	2.860177
350	-554.6918	-563.3108	8.618983	10.29744	2.835435
360	-553.1693	-559.8799	6.710579	14.67191	3.049831
