Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-462.0466	-456.4228	-5.623803	60178.9	16.61523	0.994823	0.998672	1.00132	1.00519	3.026104
1	1	-473.3663	-468.6135	-4.752797	35305.29	15.32827	0.993243	0.998264	1.00172	1.00677	3.0245
2	0	-459.9423	-450.4903	-9.451912	49541.87	8.720061	0.994295	0.998536	1.00145	1.00572	3.354808
3	1	-473.1193	-468.9978	-4.121513	66937.85	13.34102	0.995091	0.998741	1.00125	1.00492	3.030761
4	0	-458.6506	-452.6246	-6.025961	7415.178	13.49178	0.985278	0.996191	1.00373	1.0148	3.169965
5	1	-472.9717	-463.8635	-9.108188	41303.51	12.10938	0.993752	0.998396	1.00159	1.00626	3.443204
6	0	-451.4204	-450.0403	-1.380183	557.4983	13.90581	0.94669	0.985742	1.01323	1.05433	2.824658
7	1	-469.1143	-466.6288	-2.485527	66246.51	15.47188	0.995066	0.998734	1.00126	1.00494	2.872741
8	0	-447.3104	-448.0585	0.7480145	4434.412	17.32395	0.980977	0.99506	1.00481	1.01915	2.625177
9	1	-465.8004	-460.4868	-5.313516	93262.89	9.456045	0.995841	0.998934	1.00106	1.00417	2.99181
10	0	-459.8165	-459.2624	-0.5541126	65976.24	11.73556	0.995056	0.998732	1.00126	1.00495	2.720801
11	1	-471.0249	-468.7892	-2.235624	32731.25	16.06495	0.992983	0.998197	1.00179	1.00703	2.839749
12	0	-454.8053	-454.5639	-0.2414435	40639.86	17.34701	0.993702	0.998382	1.0016	1.00631	2.681605
13	1	-468.8272	-464.5598	-4.267451	53564.61	12.49506	0.994513	0.998592	1.0014	1.0055	3.046217
14	0	-452.5787	-450.9565	-1.622188	7976.319	15.87247	0.985804	0.996329	1.0036	1.01427	2.806827
15	1	-464.4348	-464.1558	-0.2790168	42331.82	11.28304	0.993829	0.998415	1.00157	1.00618	2.670672
16	0	-455.7194	-451.7414	-3.977941	25816.75	11.46414	0.9921	0.997968	1.00201	1.00792	3.004922
17	1	-464.1412	-462.7127	-1.428481	11217.98	17.34681	0.988024	0.996909	1.00304	1.01203	2.75004
18	0	-451.1117	-451.7514	0.6396631	62336.79	16.95101	0.994914	0.998695	1.0013	1.0051	2.641088
19	1	-473.2239	-465.4174	-7.806526	2805.695	9.28385	0.976106	0.993769	1.00603	1.0241	3.238381
20	0	-448.2034	-453.7702	5.566789	88816.15	20.62286	0.995738	0.998907	1.00109	1.00427	2.286133
21	1	-477.4224	-468.3876	-9.0348	24629.19	14.64919	0.991912	0.99792	1.00206	1.00811	3.339455
22	0	-450.3317	-447.0211	-3.310619	94430.4	14.40388	0.995867	0.99894	1.00105	1.00414	2.95426
23	1	-468.7425	-463.1811	-5.561419	41998.98	17.07175	0.993804	0.998409	1.00158	1.00621	3.001277
24	0	-463.9228	-460.1272	-3.795568	25213.25	12.74059	0.992006	0.997944	1.00203	1.00802	3.009242
25	1	-459.5056	-456.7468	-2.758823	76297.77	15.04195	0.995402	0.998821	1.00117	1.00461	2.901921
26	0	-455.7915	-463.5209	7.729353	23429.18	18.71622	0.991708	0.997867	1.00211	1.00832	2.211342
27	1	-473.6888	-460.8794	-12.80942	95062.84	10.90727	0.99588	0.998944	1.00105	1.00413	3.791061
28	0	-451.224	-459.8918	8.667837	28800.82	18.94884	0.99252	0.998077	1.0019	1.0075	2.15894
29	1	-470.7991	-460.2239	-10.57522	19120.68	12.99788	0.990823	0.997637	1.00233	1.00921	3.530378
30	0	-448.7689	-457.3537	8.58476	76873.02	16.86359	0.995419	0.998825	1.00117	1.00459	2.172106
31	1	-470.9498	-456.8015	-14.14825	44531.17	11.79585	0.993983	0.998455	1.00153	1.00603	3.876134
32	0	-457.4671	-456.1274	-1.339768	86724.29	12.76356	0.995687	0.998894	1.0011	1.00432	2.816846
33	1	-464.6658	-455.8406	-8.825222	6589.447	12.44799	0.984385	0.995957	1.00396	1.0157	3.412206
34	0	-466.0377	-460.9498	-5.087899	73812.89	10.0465	0.995325	0.998801	1.00119	1.00468	3.028951
35	1	-456.7703	-453.4518	-3.318479	48399.65	12.93365	0.994228	0.998518	1.00147	1.00578	2.972126
36	0	-464.0854	-455.1893	-8.89607	50643.12	11.48697	0.994357	0.998552	1.00144	1.00565	3.433802
37	1	-454.9806	-455.9975	1.016909	15384.3	14.38515	0.989771	0.997364	1.0026	1.01027	2.653825
38	0	-467.8093	-453.219	-14.59026	24276.41	9.165394	0.991854	0.997905	1.00207	1.00817	3.965522
39	1	-459.6408	-451.4567	-8.184016	58465.47	17.99371	0.994748	0.998652	1.00134	1.00526	3.102848
40	0	-466.1916	-458.6893	-7.502351	49405.78	9.505702	0.994287	0.998534	1.00145	1.00572	3.227992
41	1	-453.6367	-445.6701	-7.966604	49598.42	11.55441	0.994298	0.998536	1.00145	1.00571	3.352922
42	0	-460.3791	-455.9121	-4.466987	74221.69	16.6203	0.995338	0.998804	1.00119	1.00467	2.95627
43	1	-467.8973	-461.9784	-5.918887	64577.09	12.32023	0.995002	0.998718	1.00127	1.00501	3.179433
44	0	-461.3306	-458.8675	-2.463125	86021.91	10.58762	0.995669	0.99889	1.0011	1.00434	2.819166
45	1	-464.6254	-457.585	-7.040307	16861.7	13.19758	0.990228	0.997483	1.00248	1.00981	3.253454
