Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-462.0466	-456.4228	-5.623803	60178.9	16.61523	0.994823	0.998672	1.00132	1.00519	3.026104
10	-459.9423	-450.4903	-9.451912	49541.87	8.720061	0.994295	0.998536	1.00145	1.00572	3.354808
20	-458.6506	-452.6246	-6.025961	7415.178	13.49178	0.985278	0.996191	1.00373	1.0148	3.169965
30	-451.4204	-450.0403	-1.380183	557.4983	13.90581	0.94669	0.985742	1.01323	1.05433	2.824658
40	-447.3104	-448.0585	0.7480145	4434.412	17.32395	0.980977	0.99506	1.00481	1.01915	2.625177
50	-459.8165	-459.2624	-0.5541126	65976.24	11.73556	0.995056	0.998732	1.00126	1.00495	2.720801
60	-454.8053	-454.5639	-0.2414435	40639.86	17.34701	0.993702	0.998382	1.0016	1.00631	2.681605
70	-452.5787	-450.9565	-1.622188	7976.319	15.87247	0.985804	0.996329	1.0036	1.01427	2.806827
80	-455.7194	-451.7414	-3.977941	25816.75	11.46414	0.9921	0.997968	1.00201	1.00792	3.004922
90	-451.1117	-451.7514	0.6396631	62336.79	16.95101	0.994914	0.998695	1.0013	1.0051	2.641088
100	-448.2034	-453.7702	5.566789	88816.15	20.62286	0.995738	0.998907	1.00109	1.00427	2.286133
110	-450.3317	-447.0211	-3.310619	94430.4	14.40388	0.995867	0.99894	1.00105	1.00414	2.95426
120	-463.9228	-460.1272	-3.795568	25213.25	12.74059	0.992006	0.997944	1.00203	1.00802	3.009242
130	-455.7915	-463.5209	7.729353	23429.18	18.71622	0.991708	0.997867	1.00211	1.00832	2.211342
140	-451.224	-459.8918	8.667837	28800.82	18.94884	0.99252	0.998077	1.0019	1.0075	2.15894
150	-448.7689	-457.3537	8.58476	76873.02	16.86359	0.995419	0.998825	1.00117	1.00459	2.172106
160	-457.4671	-456.1274	-1.339768	86724.29	12.76356	0.995687	0.998894	1.0011	1.00432	2.816846
170	-466.0377	-460.9498	-5.087899	73812.89	10.0465	0.995325	0.998801	1.00119	1.00468	3.028951
180	-464.0854	-455.1893	-8.89607	50643.12	11.48697	0.994357	0.998552	1.00144	1.00565	3.433802
190	-467.8093	-453.219	-14.59026	24276.41	9.165394	0.991854	0.997905	1.00207	1.00817	3.965522
200	-466.1916	-458.6893	-7.502351	49405.78	9.505702	0.994287	0.998534	1.00145	1.00572	3.227992
